form,root,pos,modification,,,,,,,,,
jalpitvA,jalp,gerund,,,,jalpitvA,jalp,,,,,gerund
jasitvA,jas,gerund,,,,jasitvA,jas,,,,,gerund
jastvA,jas,gerund,,,,jastvA,jas,,,,,gerund
jAgarayitvA,jAgf,gerund,caus,,,jAgarayitvA,jAgf,,,,,gerund
jAgaritvA,jAgf,gerund,,,,jAgaritvA,jAgf,,,,,gerund
jAtvA,jan,gerund,,,,jAtvA,jan,,,,,gerund
jApayitvA,ji,gerund,caus,,,jApayitvA,ji,,,,,gerund
jAsayitvA,jas,gerund,caus,,,jAsayitvA,jas,,,,,gerund
jigadizitvA,gad,gerund,desid,,,jigadizitvA,gad,,,,,gerund
jigamizitvA,gam,gerund,desid,,,jigamizitvA,gam,,,,,gerund
jigIzitvA,ji,gerund,desid,,,jigIzitvA,ji,,,,,gerund
jiGAMsitvA,han#1,gerund,desid,,,jiGAMsitvA,han#1,,,,,gerund
jiGfkzitvA,grah,gerund,desid,,,jiGfkzitvA,grah,,,,,gerund
jijIvizitvA,jIv,gerund,desid,,,jijIvizitvA,jIv,,,,,gerund
jijYAsitvA,jYA#1,gerund,desid,,,jijYAsitvA,jYA#1,,,,,gerund
jitvA,ji,gerund,,,,jitvA,ji,,,,,gerund
jinvitvA,jinv,gerund,,,,jinvitvA,jinv,,,,,gerund
jihIrzitvA,hf#1,gerund,desid,,,jihIrzitvA,hf#1,,,,,gerund
jItvA,jyA#1,gerund,,,,jItvA,jyA#1,,,,,gerund
jIrtvA,jF,gerund,,,,jIrtvA,jF,,,,,gerund
jIvitvA,jIv,gerund,,,,jIvitvA,jIv,,,,,gerund
jugupsitvA,gup,gerund,desid,,,jugupsitvA,gup,,,,,gerund
juzwvA,juz#1,gerund,,,,juzwvA,juz#1,,,,,gerund
juhUzitvA,hu,gerund,desid,,,juhUzitvA,hu,,,,,gerund
jUtvA,jU,gerund,,,,jUtvA,jU,,,,,gerund
jfmBitvA,jfmB,gerund,,,,jfmBitvA,jfmB,,,,,gerund
jozayitvA,juz#1,gerund,caus,,,jozayitvA,juz#1,,,,,gerund
jYapayitvA,jYA#1,gerund,caus,,,jYapayitvA,jYA#1,,,,,gerund
jYapitvA,jYA#1,gerund,caus,,,jYapitvA,jYA#1,,,,,gerund
jYAtvA,jYA#1,gerund,,,,jYAtvA,jYA#1,,,,,gerund
jYApayitvA,jYA#1,gerund,caus,,,jYApayitvA,jYA#1,,,,,gerund
jyuttvA,jyut,gerund,,,,jyuttvA,jyut,,,,,gerund
jyotayitvA,jyut,gerund,caus,,,jyotayitvA,jyut,,,,,gerund
jvartvA,jvar,gerund,,,,jvartvA,jvar,,,,,gerund
jvalayitvA,jval,gerund,caus,,,jvalayitvA,jval,,,,,gerund
jvalitvA,jval,gerund,,,,jvalitvA,jval,,,,,gerund
qambayitvA,qamb,gerund,,,,qambayitvA,qamb,,,,,gerund
qItvA,qI,gerund,,,,qItvA,qI,,,,,gerund
taktvA,tak,gerund,,,,taktvA,tak,,,,,gerund
taktvA,taYc,gerund,,,,taktvA,taYc,,,,,gerund
takzitvA,takz,gerund,,,,takzitvA,takz,,,,,gerund
taYcitvA,taYc,gerund,,,,taYcitvA,taYc,,,,,gerund
tatvA,tan#1,gerund,,,,tatvA,tan#1,,,,,gerund
tanitvA,tan#1,gerund,,,,tanitvA,tan#1,,,,,gerund
tantrayitvA,tantra,gerund,,,,tantrayitvA,tantra,,,,,gerund
tantvA,tan#2,gerund,,,,tantvA,tan#2,,,,,gerund
tantvA,tam,gerund,,,,tantvA,tam,,,,,gerund
tandrayitvA,tandr,gerund,,,,tandrayitvA,tandr,,,,,gerund
tapasyitvA,tapas,gerund,,,,tapasyitvA,tapas,,,,,gerund
tapitvA,tap,gerund,,,,tapitvA,tap,,,,,gerund
taptvA,tap,gerund,,,,taptvA,tap,,,,,gerund
tamitvA,tam,gerund,,,,tamitvA,tam,,,,,gerund
taruRayitvA,taruRa,gerund,,,,taruRayitvA,taruRa,,,,,gerund
taruRAyitvA,taruRa,gerund,,,,taruRAyitvA,taruRa,,,,,gerund
tarkayitvA,tark,gerund,,,,tarkayitvA,tark,,,,,gerund
tarjayitvA,tarj,gerund,caus,,,tarjayitvA,tarj,,,,,gerund
tarjitvA,tarj,gerund,,,,tarjitvA,tarj,,,,,gerund
tarpayitvA,tfp#1,gerund,caus,,,tarpayitvA,tfp#1,,,,,gerund
tarzitvA,tfz,gerund,,,,tarzitvA,tfz,,,,,gerund
tavizIyitvA,taviza,gerund,,,,tavizIyitvA,taviza,,,,,gerund
tazwvA,takz,gerund,,,,tazwvA,takz,,,,,gerund
tAqayitvA,taq,gerund,caus,,,tAqayitvA,taq,,,,,gerund
tApayitvA,tap,gerund,caus,,,tApayitvA,tap,,,,,gerund
tArayitvA,tF,gerund,caus,,,tArayitvA,tF,,,,,gerund
tiktvA,tij,gerund,,,,tiktvA,tij,,,,,gerund
titikzitvA,tij,gerund,desid,,,titikzitvA,tij,,,,,gerund
titIrzitvA,tF,gerund,desid,,,titIrzitvA,tF,,,,,gerund
tirasyitvA,tiras,gerund,,,,tirasyitvA,tiras,,,,,gerund
tIrtvA,tF,gerund,,,,tIrtvA,tF,,,,,gerund
tuttvA,tud#1,gerund,,,,tuttvA,tud#1,,,,,gerund
tuptvA,tup,gerund,,,,tuptvA,tup,,,,,gerund
tulayitvA,tul,gerund,,,,tulayitvA,tul,,,,,gerund
tuzwUzitvA,stu,gerund,desid,,,tuzwUzitvA,stu,,,,,gerund
tuzwvA,tuz,gerund,,,,tuzwvA,tuz,,,,,gerund
tuhinayitvA,tuhina,gerund,,,,tuhinayitvA,tuhina,,,,,gerund
tUrtvA,tvar,gerund,,,,tUrtvA,tvar,,,,,gerund
tfttvA,tfd,gerund,,,,tfttvA,tfd,,,,,gerund
tfptvA,tfp#1,gerund,,,,tfptvA,tfp#1,,,,,gerund
tejayitvA,tij,gerund,caus,,,tejayitvA,tij,,,,,gerund
tozayitvA,tuz,gerund,caus,,,tozayitvA,tuz,,,,,gerund
tyaktvA,tyaj#1,gerund,,,,tyaktvA,tyaj#1,,,,,gerund
tyAjayitvA,tyaj#1,gerund,caus,,,tyAjayitvA,tyaj#1,,,,,gerund
trapayitvA,trap,gerund,caus,,,trapayitvA,trap,,,,,gerund
trapitvA,trap,gerund,,,,trapitvA,trap,,,,,gerund
traptvA,trap,gerund,,,,traptvA,trap,,,,,gerund
trastvA,tras,gerund,,,,trastvA,tras,,,,,gerund
trAtvA,trE,gerund,,,,trAtvA,trE,,,,,gerund
trAsayitvA,tras,gerund,caus,,,trAsayitvA,tras,,,,,gerund
truwitvA,truw,gerund,,,,truwitvA,truw,,,,,gerund
trowayitvA,truw,gerund,caus,,,trowayitvA,truw,,,,,gerund
trowitvA,truw,gerund,,,,trowitvA,truw,,,,,gerund
tvakzitvA,tvakz,gerund,,,,tvakzitvA,tvakz,,,,,gerund
tvarayitvA,tvar,gerund,caus,,,tvarayitvA,tvar,,,,,gerund
tvaritvA,tvar,gerund,,,,tvaritvA,tvar,,,,,gerund
tvazwvA,tvakz,gerund,,,,tvazwvA,tvakz,,,,,gerund
tvizitvA,tviz#1,gerund,,,,tvizitvA,tviz#1,,,,,gerund
tvezitvA,tviz#1,gerund,,,,tvezitvA,tviz#1,,,,,gerund
tsartvA,tsar,gerund,,,,tsartvA,tsar,,,,,gerund
daMSitvA,daMS,gerund,,,,daMSitvA,daMS,,,,,gerund
dakzitvA,dakz,gerund,,,,dakzitvA,dakz,,,,,gerund
dagDvA,daG,gerund,,,,dagDvA,daG,,,,,gerund
dagDvA,dah#1,gerund,,,,dagDvA,dah#1,,,,,gerund
daRqayitvA,daRqa,gerund,,,,daRqayitvA,daRqa,,,,,gerund
dattvA,dA#1,gerund,,,,dattvA,dA#1,,,,,gerund
dabDvA,daB,gerund,,,,dabDvA,daB,,,,,gerund
damayitvA,dam#1,gerund,caus,,,damayitvA,dam#1,,,,,gerund
damitvA,dam#1,gerund,,,,damitvA,dam#1,,,,,gerund
dayitvA,day,gerund,,,,dayitvA,day,,,,,gerund
darpayitvA,dfp,gerund,caus,,,darpayitvA,dfp,,,,,gerund
darpitvA,dfp,gerund,,,,darpitvA,dfp,,,,,gerund
darBayitvA,dfB,gerund,caus,,,darBayitvA,dfB,,,,,gerund
darSayitvA,dfS#1,gerund,caus,,,darSayitvA,dfS#1,,,,,gerund
dalitvA,dal,gerund,,,,dalitvA,dal,,,,,gerund
dasitvA,das,gerund,,,,dasitvA,das,,,,,gerund
dastvA,das,gerund,,,,dastvA,das,,,,,gerund
dAntvA,dam#1,gerund,,,,dAntvA,dam#1,,,,,gerund
dApayitvA,dA#1,gerund,caus,,,dApayitvA,dA#1,,,,,gerund
dArayitvA,dF,gerund,caus,,,dArayitvA,dF,,,,,gerund
dAvayitvA,du,gerund,caus,,,dAvayitvA,du,,,,,gerund
dASayitvA,dAS#1,gerund,caus,,,dASayitvA,dAS#1,,,,,gerund
dAzwvA,dAS#1,gerund,,,,dAzwvA,dAS#1,,,,,gerund
dAsayitvA,das,gerund,caus,,,dAsayitvA,das,,,,,gerund
dAhayitvA,dah#1,gerund,caus,,,dAhayitvA,dah#1,,,,,gerund
digDvA,dih,gerund,,,,digDvA,dih,,,,,gerund
ditvA,dA#2,gerund,,,,ditvA,dA#2,,,,,gerund
ditsitvA,dA#1,gerund,desid,,,ditsitvA,dA#1,,,,,gerund
didikzitvA,diS#1,gerund,desid,,,didikzitvA,diS#1,,,,,gerund
didfkzitvA,dfS#1,gerund,desid,,,didfkzitvA,dfS#1,,,,,gerund
diDizitvA,DA#1,gerund,desid,,,diDizitvA,DA#1,,,,,gerund
diDyAsitvA,DyA,gerund,desid,,,diDyAsitvA,DyA,,,,,gerund
dizwvA,diS#1,gerund,,,,dizwvA,diS#1,,,,,gerund
dIkzayitvA,dIkz,gerund,caus,,,dIkzayitvA,dIkz,,,,,gerund
dIkzitvA,dIkz,gerund,,,,dIkzitvA,dIkz,,,,,gerund
dItvA,dA#3,gerund,,,,dItvA,dA#3,,,,,gerund
dIpayitvA,dIp,gerund,caus,,,dIpayitvA,dIp,,,,,gerund
dIptvA,dIp,gerund,,,,dIptvA,dIp,,,,,gerund
dIrtvA,dF,gerund,,,,dIrtvA,dF,,,,,gerund
dIvitvA,dIv#1,gerund,,,,dIvitvA,dIv#1,,,,,gerund
duHKyitvA,duHKa,gerund,,,,duHKyitvA,duHKa,,,,,gerund
dugDvA,duh#1,gerund,,,,dugDvA,duh#1,,,,,gerund
dutvA,du,gerund,,,,dutvA,du,,,,,gerund
dudUzitvA,du,gerund,desid,,,dudUzitvA,du,,,,,gerund
dudrUzitvA,dru#1,gerund,desid,,,dudrUzitvA,dru#1,,,,,gerund
duDukzitvA,duh#1,gerund,desid,,,duDukzitvA,duh#1,,,,,gerund
durdinAyitvA,durdina,gerund,,,,durdinAyitvA,durdina,,,,,gerund
duzwvA,duz,gerund,,,,duzwvA,duz,,,,,gerund
dUzayitvA,duz,gerund,caus,,,dUzayitvA,duz,,,,,gerund
dfQvA,dfh,gerund,,,,dfQvA,dfh,,,,,gerund
dfptvA,dfp,gerund,,,,dfptvA,dfp,,,,,gerund
dfbDvA,dfB,gerund,,,,dfbDvA,dfB,,,,,gerund
dfzwvA,dfS#1,gerund,,,,dfzwvA,dfS#1,,,,,gerund
devayitvA,deva,gerund,,,,devayitvA,deva,,,,,gerund
devayitvA,dev,gerund,caus,,,devayitvA,dev,,,,,gerund
devayitvA,dIv#1,gerund,caus,,,devayitvA,dIv#1,,,,,gerund
devtvA,dev,gerund,,,,devtvA,dev,,,,,gerund
deSayitvA,diS#1,gerund,caus,,,deSayitvA,diS#1,,,,,gerund
dehayitvA,dih,gerund,caus,,,dehayitvA,dih,,,,,gerund
dolayitvA,dola,gerund,,,,dolayitvA,dola,,,,,gerund
dohayitvA,duh#1,gerund,caus,,,dohayitvA,duh#1,,,,,gerund
dyutitvA,dyut#1,gerund,,,,dyutitvA,dyut#1,,,,,gerund
dyuttvA,dyut#1,gerund,,,,dyuttvA,dyut#1,,,,,gerund
dyUtvA,dIv#1,gerund,,,,dyUtvA,dIv#1,,,,,gerund
dyotayitvA,dyut#1,gerund,caus,,,dyotayitvA,dyut#1,,,,,gerund
dyotitvA,dyut#1,gerund,,,,dyotitvA,dyut#1,,,,,gerund
drAtvA,drA#1,gerund,,,,drAtvA,drA#1,,,,,gerund
drAtvA,drA#2,gerund,,,,drAtvA,drA#2,,,,,gerund
drApayitvA,drA#1,gerund,caus,,,drApayitvA,drA#1,,,,,gerund
drArayitvA,druh#1,gerund,caus,,,drArayitvA,druh#1,,,,,gerund
drAvayitvA,dru#1,gerund,caus,,,drAvayitvA,dru#1,,,,,gerund
drugDvA,druh#1,gerund,,,,drugDvA,druh#1,,,,,gerund
drutvA,dru#1,gerund,,,,drutvA,dru#1,,,,,gerund
druhitvA,druh#1,gerund,,,,druhitvA,druh#1,,,,,gerund
drUQvA,druh#1,gerund,,,,drUQvA,druh#1,,,,,gerund
drohitvA,druh#1,gerund,,,,drohitvA,druh#1,,,,,gerund
dvizwvA,dviz#1,gerund,,,,dvizwvA,dviz#1,,,,,gerund
DanAyitvA,Dana,gerund,,,,DanAyitvA,Dana,,,,,gerund
DanIyitvA,Dana,gerund,,,,DanIyitvA,Dana,,,,,gerund
DarzayitvA,Dfz,gerund,caus,,,DarzayitvA,Dfz,,,,,gerund
DarzitvA,Dfz,gerund,,,,DarzitvA,Dfz,,,,,gerund
DApayitvA,DA#1,gerund,caus,,,DApayitvA,DA#1,,,,,gerund
DArayitvA,Df,gerund,caus,,,DArayitvA,Df,,,,,gerund
DAvitvA,DAv#1,gerund,,,,DAvitvA,DAv#1,,,,,gerund
DAvtvA,DAv#1,gerund,,,,DAvtvA,DAv#1,,,,,gerund
DitvA,DA#1,gerund,,,,DitvA,DA#1,,,,,gerund
DitsitvA,DA#1,gerund,desid,,,DitsitvA,DA#1,,,,,gerund
DItvA,DI#1,gerund,,,,DItvA,DI#1,,,,,gerund
DItvA,DA#2,gerund,,,,DItvA,DA#2,,,,,gerund
DIrayitvA,DIra#1,gerund,,,,DIrayitvA,DIra#1,,,,,gerund
DukzayitvA,Dukz,gerund,caus,,,DukzayitvA,Dukz,,,,,gerund
DukzitvA,Dukz,gerund,,,,DukzitvA,Dukz,,,,,gerund
DutvA,DU#1,gerund,,,,DutvA,DU#1,,,,,gerund
DUtvA,DU#1,gerund,,,,DUtvA,DU#1,,,,,gerund
DUmAyitvA,DUma,gerund,,,,DUmAyitvA,DUma,,,,,gerund
DUrtvA,Dvf,gerund,,,,DUrtvA,Dvf,,,,,gerund
DftvA,Df,gerund,,,,DftvA,Df,,,,,gerund
DOtvA,DAv#2,gerund,,,,DOtvA,DAv#2,,,,,gerund
DmAtvA,Dam,gerund,,,,DmAtvA,Dam,,,,,gerund
DyAtvA,DyA,gerund,,,,DyAtvA,DyA,,,,,gerund
DrutvA,Dru,gerund,,,,DrutvA,Dru,,,,,gerund
DvaMsayitvA,DvaMs,gerund,caus,,,DvaMsayitvA,DvaMs,,,,,gerund
DvaMsitvA,DvaMs,gerund,,,,DvaMsitvA,DvaMs,,,,,gerund
DvanayitvA,Dvan,gerund,caus,,,DvanayitvA,Dvan,,,,,gerund
DvanitvA,Dvan,gerund,,,,DvanitvA,Dvan,,,,,gerund
DvastvA,DvaMs,gerund,,,,DvastvA,DvaMs,,,,,gerund
DvANkzitvA,DvANkz,gerund,,,,DvANkzitvA,DvANkz,,,,,gerund
DvArayitvA,Dvf,gerund,caus,,,DvArayitvA,Dvf,,,,,gerund
natvA,nam,gerund,,,,natvA,nam,,,,,gerund
nadayitvA,nad,gerund,caus,,,nadayitvA,nad,,,,,gerund
naditvA,nad,gerund,,,,naditvA,nad,,,,,gerund
nadDvA,nah,gerund,,,,nadDvA,nah,,,,,gerund
nandayitvA,nand,gerund,caus,,,nandayitvA,nand,,,,,gerund
nanditvA,nand,gerund,,,,nanditvA,nand,,,,,gerund
namasyitvA,namas,gerund,,,,namasyitvA,namas,,,,,gerund
nartayitvA,nft,gerund,caus,,,nartayitvA,nft,,,,,gerund
narditvA,nard,gerund,,,,narditvA,nard,,,,,gerund
naSitvA,naS#1,gerund,,,,naSitvA,naS#1,,,,,gerund
nazwvA,naS#1,gerund,,,,nazwvA,naS#1,,,,,gerund
nAtTvA,nAT,gerund,,,,nAtTvA,nAT,,,,,gerund
nAdayitvA,nad,gerund,caus,,,nAdayitvA,nad,,,,,gerund
nAmayitvA,nam,gerund,caus,,,nAmayitvA,nam,,,,,gerund
nAyayitvA,nI#1,gerund,caus,,,nAyayitvA,nI#1,,,,,gerund
nAvyitvA,nO#1,gerund,,,,nAvyitvA,nO#1,,,,,gerund
nASayitvA,naS#1,gerund,caus,,,nASayitvA,naS#1,,,,,gerund
nikazAyitvA,nikaza,gerund,,,,nikazAyitvA,nikaza,,,,,gerund
niktvA,nij,gerund,,,,niktvA,nij,,,,,gerund
ninadizitvA,nad,gerund,desid,,,ninadizitvA,nad,,,,,gerund
ninartizitvA,nft,gerund,desid,,,ninartizitvA,nft,,,,,gerund
ninIzitvA,nI#1,gerund,desid,,,ninIzitvA,nI#1,,,,,gerund
ninftsitvA,nft,gerund,desid,,,ninftsitvA,nft,,,,,gerund
ninditvA,nind,gerund,,,,ninditvA,nind,,,,,gerund
nItvA,nI#1,gerund,,,,nItvA,nI#1,,,,,gerund
nIhArAyitvA,nIhAra,gerund,,,,nIhArAyitvA,nIhAra,,,,,gerund
nuttvA,nud,gerund,,,,nuttvA,nud,,,,,gerund
nutvA,nu#1,gerund,,,,nutvA,nu#1,,,,,gerund
nfttvA,nft,gerund,,,,nfttvA,nft,,,,,gerund
nejayitvA,nij,gerund,caus,,,nejayitvA,nij,,,,,gerund
nenikzitvA,nij,gerund,desid,,,nenikzitvA,nij,,,,,gerund
nodayitvA,nud,gerund,caus,,,nodayitvA,nud,,,,,gerund
paktvA,pac,gerund,,,,paktvA,pac,,,,,gerund
pawapawAyitvA,pawapawA,gerund,,,,pawapawAyitvA,pawapawA,,,,,gerund
pawwvA,paw,gerund,,,,pawwvA,paw,,,,,gerund
paWitvA,paW,gerund,,,,paWitvA,paW,,,,,gerund
paRayitvA,paR,gerund,caus,,,paRayitvA,paR,,,,,gerund
paRitvA,paR,gerund,,,,paRitvA,paR,,,,,gerund
patitvA,pat#1,gerund,,,,patitvA,pat#1,,,,,gerund
pattvA,pat#2,gerund,,,,pattvA,pat#2,,,,,gerund
pattvA,pad#1,gerund,,,,pattvA,pad#1,,,,,gerund
patTvA,paT,gerund,,,,patTvA,paT,,,,,gerund
payasyitvA,payas,gerund,,,,payasyitvA,payas,,,,,gerund
payAyitvA,payas,gerund,,,,payAyitvA,payas,,,,,gerund
parzitvA,pfz,gerund,,,,parzitvA,pfz,,,,,gerund
palAyitvA,palAy,gerund,,,,palAyitvA,palAy,,,,,gerund
pavitrayitvA,pavitra,gerund,,,,pavitrayitvA,pavitra,,,,,gerund
pAcayitvA,pac,gerund,caus,,,pAcayitvA,pac,,,,,gerund
pAwayitvA,paw,gerund,caus,,,pAwayitvA,paw,,,,,gerund
pAWayitvA,paW,gerund,caus,,,pAWayitvA,paW,,,,,gerund
pAtayitvA,pat#1,gerund,caus,,,pAtayitvA,pat#1,,,,,gerund
pATayitvA,paT,gerund,caus,,,pATayitvA,paT,,,,,gerund
pAdayitvA,pad#1,gerund,caus,,,pAdayitvA,pad#1,,,,,gerund
pAyayitvA,pA#1,gerund,caus,,,pAyayitvA,pA#1,,,,,gerund
pArayitvA,pf#1,gerund,caus,,,pArayitvA,pf#1,,,,,gerund
pArayitvA,pF,gerund,caus,,,pArayitvA,pF,,,,,gerund
pAlayitvA,pA#2,gerund,caus,,,pAlayitvA,pA#2,,,,,gerund
pASayitvA,pASa,gerund,,,,pASayitvA,pASa,,,,,gerund
piYjitvA,piYj,gerund,,,,piYjitvA,piYj,,,,,gerund
piRqayitvA,piRqa,gerund,,,,piRqayitvA,piRqa,,,,,gerund
pipakzitvA,pac,gerund,desid,,,pipakzitvA,pac,,,,,gerund
pipaWizitvA,paW,gerund,desid,,,pipaWizitvA,paW,,,,,gerund
pipatizitvA,pat#1,gerund,desid,,,pipatizitvA,pat#1,,,,,gerund
pipAsitvA,pA#1,gerund,desid,,,pipAsitvA,pA#1,,,,,gerund
pipAsitvA,pA#2,gerund,desid,,,pipAsitvA,pA#2,,,,,gerund
piprIzitvA,prI,gerund,desid,,,piprIzitvA,prI,,,,,gerund
pizwvA,piz,gerund,,,,pizwvA,piz,,,,,gerund
pizwvA,piS#1,gerund,,,,pizwvA,piS#1,,,,,gerund
pIqayitvA,pIq,gerund,,,,pIqayitvA,pIq,,,,,gerund
pItvA,pA#1,gerund,,,,pItvA,pA#1,,,,,gerund
pItvA,pA#2,gerund,,,,pItvA,pA#2,,,,,gerund
pItvA,pi#2,gerund,,,,pItvA,pi#2,,,,,gerund
pIyUzavarzAyitvA,pIyUzavarza,gerund,,,,pIyUzavarzAyitvA,pIyUzavarza,,,,,gerund
putTvA,puT,gerund,,,,putTvA,puT,,,,,gerund
putrakAmyitvA,putrakAma,gerund,,,,putrakAmyitvA,putrakAma,,,,,gerund
putriyitvA,putra,gerund,,,,putriyitvA,putra,,,,,gerund
putrIyitvA,putra,gerund,,,,putrIyitvA,putra,,,,,gerund
pupUrzitvA,pF,gerund,desid,,,pupUrzitvA,pF,,,,,gerund
pulakayitvA,pulaka,gerund,,,,pulakayitvA,pulaka,,,,,gerund
puzkarAyitvA,puzkara,gerund,,,,puzkarAyitvA,puzkara,,,,,gerund
puzwvA,puz#1,gerund,,,,puzwvA,puz#1,,,,,gerund
puzpAyitvA,puzpa,gerund,,,,puzpAyitvA,puzpa,,,,,gerund
puzpyitvA,puzpa,gerund,,,,puzpyitvA,puzpa,,,,,gerund
pUjayitvA,pUj,gerund,,,,pUjayitvA,pUj,,,,,gerund
pUtvA,pUy,gerund,,,,pUtvA,pUy,,,,,gerund
pUtvA,pU#1,gerund,,,,pUtvA,pU#1,,,,,gerund
pUrayitvA,pF,gerund,caus,,,pUrayitvA,pF,,,,,gerund
pUrtvA,pF,gerund,,,,pUrtvA,pF,,,,,gerund
pUlatvA,pUla,gerund,,,,pUlatvA,pUla,,,,,gerund
pUlayitvA,pUla,gerund,,,,pUlayitvA,pUla,,,,,gerund
pfktvA,pfc,gerund,,,,pfktvA,pfc,,,,,gerund
pfTayitvA,pfT,gerund,,,,pfTayitvA,pfT,,,,,gerund
pfzwvA,pfz,gerund,,,,pfzwvA,pfz,,,,,gerund
pfzwvA,praS,gerund,,,,pfzwvA,praS,,,,,gerund
poTayitvA,puT,gerund,caus,,,poTayitvA,puT,,,,,gerund
pozayitvA,puz#1,gerund,caus,,,pozayitvA,puz#1,,,,,gerund
pyAtvA,pyA,gerund,,,,pyAtvA,pyA,,,,,gerund
pracCayitvA,praS,gerund,caus,,,pracCayitvA,praS,,,,,gerund
pratikUlayitvA,pratikUla,gerund,,,,pratikUlayitvA,pratikUla,,,,,gerund
praTayitvA,praT,gerund,caus,,,praTayitvA,praT,,,,,gerund
praTitvA,praT,gerund,,,,praTitvA,praT,,,,,gerund
prasAdayitvA,prasAda,gerund,,,,prasAdayitvA,prasAda,,,,,gerund
prAvayitvA,pru,gerund,caus,,,prAvayitvA,pru,,,,,gerund
prAsAdIyitvA,prAsAda,gerund,,,,prAsAdIyitvA,prAsAda,,,,,gerund
pritvA,pf#1,gerund,,,,pritvA,pf#1,,,,,gerund
priyAyitvA,priya,gerund,,,,priyAyitvA,priya,,,,,gerund
prIRayitvA,prI,gerund,caus,,,prIRayitvA,prI,,,,,gerund
prItvA,prI,gerund,,,,prItvA,prI,,,,,gerund
prUtvA,pru,gerund,,,,prUtvA,pru,,,,,gerund
plAvayitvA,plu,gerund,caus,,,plAvayitvA,plu,,,,,gerund
plutvA,plu,gerund,,,,plutvA,plu,,,,,gerund
pluzwvA,pluz,gerund,,,,pluzwvA,pluz,,,,,gerund
PalitvA,Pal,gerund,,,,PalitvA,Pal,,,,,gerund
PullitvA,Pull,gerund,,,,PullitvA,Pull,,,,,gerund
PenAyitvA,Pena,gerund,,,,PenAyitvA,Pena,,,,,gerund
baMhayitvA,baMh,gerund,caus,,,baMhayitvA,baMh,,,,,gerund
banDayitvA,banD,gerund,caus,,,banDayitvA,banD,,,,,gerund
banDitvA,banD,gerund,,,,banDitvA,banD,,,,,gerund
barhitvA,bfh#2,gerund,,,,barhitvA,bfh#2,,,,,gerund
bahitvA,baMh,gerund,,,,bahitvA,baMh,,,,,gerund
bADayitvA,bAD,gerund,caus,,,bADayitvA,bAD,,,,,gerund
bADitvA,bAD,gerund,,,,bADitvA,bAD,,,,,gerund
bAzpAyitvA,bAzpa,gerund,,,,bAzpAyitvA,bAzpa,,,,,gerund
bIBatsitvA,bAD,gerund,desid,,,bIBatsitvA,bAD,,,,,gerund
budDvA,buD#1,gerund,,,,budDvA,buD#1,,,,,gerund
buBukzitvA,Buj#2,gerund,desid,,,buBukzitvA,Buj#2,,,,,gerund
buButsitvA,buD#1,gerund,desid,,,buButsitvA,buD#1,,,,,gerund
buBUzitvA,BU#1,gerund,desid,,,buBUzitvA,BU#1,,,,,gerund
buBodizitvA,buD#1,gerund,desid,,,buBodizitvA,buD#1,,,,,gerund
buBoDizitvA,buD#1,gerund,desid,,,buBoDizitvA,buD#1,,,,,gerund
bfMhayitvA,bfh#1,gerund,caus,,,bfMhayitvA,bfh#1,,,,,gerund
bfQvA,bfh#1,gerund,,,,bfQvA,bfh#1,,,,,gerund
bfQvA,bfh#2,gerund,,,,bfQvA,bfh#2,,,,,gerund
boDayitvA,buD#1,gerund,caus,,,boDayitvA,buD#1,,,,,gerund
BaktvA,Baj,gerund,,,,BaktvA,Baj,,,,,gerund
BaktvA,BaYj,gerund,,,,BaktvA,BaYj,,,,,gerund
BakzayitvA,Bakz,gerund,caus,,,BakzayitvA,Bakz,,,,,gerund
BakzitvA,Bakz,gerund,,,,BakzitvA,Bakz,,,,,gerund
BaYjayitvA,BaYj,gerund,caus,,,BaYjayitvA,BaYj,,,,,gerund
BaRitvA,BaR,gerund,,,,BaRitvA,BaR,,,,,gerund
BaRqitvA,BaRq,gerund,,,,BaRqitvA,BaRq,,,,,gerund
BanditvA,Band,gerund,,,,BanditvA,Band,,,,,gerund
BartsayitvA,Barts,gerund,,,,BartsayitvA,Barts,,,,,gerund
BazwvA,Baz,gerund,,,,BazwvA,Baz,,,,,gerund
BasitvA,Bas,gerund,,,,BasitvA,Bas,,,,,gerund
BAtvA,BA#1,gerund,,,,BAtvA,BA#1,,,,,gerund
BAyayitvA,BI#1,gerund,caus,,,BAyayitvA,BI#1,,,,,gerund
BArayitvA,Bf,gerund,caus,,,BArayitvA,Bf,,,,,gerund
BAvayitvA,BU#1,gerund,caus,,,BAvayitvA,BU#1,,,,,gerund
BAzitvA,BAz,gerund,,,,BAzitvA,BAz,,,,,gerund
BAsayitvA,BAs#1,gerund,caus,,,BAsayitvA,BAs#1,,,,,gerund
BAsitvA,BAs#1,gerund,,,,BAsitvA,BAs#1,,,,,gerund
BikzitvA,Baj,gerund,desid,,,BikzitvA,Baj,,,,,gerund
BittvA,Bid#1,gerund,,,,BittvA,Bid#1,,,,,gerund
BizajyitvA,Bizaj,gerund,,,,BizajyitvA,Bizaj,,,,,gerund
BItvA,BI#1,gerund,,,,BItvA,BI#1,,,,,gerund
BIzayitvA,BI#1,gerund,caus,,,BIzayitvA,BI#1,,,,,gerund
BuktvA,Buj#1,gerund,,,,BuktvA,Buj#1,,,,,gerund
BuktvA,Buj#2,gerund,,,,BuktvA,Buj#2,,,,,gerund
